Node id 	 x 	 y 	 fix_dem 	 flex_dem 	 veh_spa 	 store_spa 	 trans_cap 	 flex_store 	 fixed_arrival
o	0.0	25.0	0	0	0	280	0	false	0.0
1	1.7879791710746273	28.813553118122552	20	0	20	280	20	false	4.211894692527219
2	0.08520955487412718	29.677148307079786	20	0	40	280	40	false	6.1211408831075955
3	2.0774079508968812	32.755592637631004	20	10	60	15	15	true	9.787975205165052
4	4.406780864110638	37.21522800862177	20	10	80	15	15	true	14.819309601824243
5	6.268199352012993	37.70032417010326	20	10	100	280	100	true	16.742899233993423
6	12.038459011124331	34.775951570145644	20	10	120	280	120	true	23.211890781132016
7	12.275675844502999	41.91573807287261	20	0	140	280	140	false	30.355616918839168
8	6.981189375892299	47.54388941581377	20	10	160	280	160	true	38.08269104203433
9	3.934831541298378	49.032037052050605	20	0	180	280	180	false	41.47310096468808
10	11.805765612710207	48.357201101958616	20	10	200	280	200	true	49.37291151406508
11	11.549193147375226	47.308927814614194	20	10	220	15	15	true	50.45212711575362
12	17.587078803551687	45.25164857219849	20	10	240	280	240	true	56.83087786165489
13	20.859805114163283	41.76287026784379	20	0	260	15	15	false	61.61442378085599
14	22.775280032758445	44.45176438797996	20	10	280	15	15	true	64.91581678276746
15	25.65341736016188	41.54669897638655	20	0	300	15	15	false	69.00520298622507
16	26.5832980349353	38.93673666513649	20	10	320	15	15	true	71.77586740752601
17	21.41796007371336	34.66025721173119	20	10	340	280	280	true	78.48175979922438
18	35.80885119871506	36.092151162260414	20	10	360	15	15	true	92.94371221434506
19	36.37370565809122	42.63839412408611	20	10	380	15	15	true	99.51427972982876
20	44.8680777806483	43.49061821502666	20	10	400	280	280	true	108.05129581612346
21	47.905281937670594	33.05261363230183	20	0	420	280	280	false	118.92219958537916
22	41.940433503667194	27.124652454257564	20	0	440	280	280	false	127.33172635976027
23	34.077616717919035	25.810117202238903	20	10	460	280	280	true	135.30367033441556
24	37.73369679252818	22.674184432906504	20	10	480	280	280	true	140.12041154043095
25	37.33029118223658	20.019947259658643	20	10	500	280	280	true	142.80512959979316
26	38.258479565439025	17.878319949605398	20	0	520	15	15	false	145.1392463941884
27	47.3649270297478	11.538595901190158	20	10	540	15	15	true	156.23516845728304
28	46.474120582869745	9.736616927614511	20	10	560	280	280	true	158.24530883720882
29	42.16137213656415	9.234192464776092	20	10	580	15	15	true	162.58722425577352
30	43.95084356461343	2.9679255556845807	20	0	600	15	15	false	169.1039956164843
31	41.7557602157207	4.0629213879967985	20	10	620	15	15	true	171.55703593033306
32	38.64129138043467	3.145367201754945	20	10	640	15	15	true	174.80385311192148
33	29.219291599755127	15.65635445777877	20	10	660	280	280	true	190.46587347927883
34	19.82027959571288	20.34596720256	20	0	680	15	15	false	200.96986768853773
35	19.799961760062263	8.6980050828178	20	10	700	15	15	true	212.61784752872438
36	15.30648762131857	6.9728562958388025	20	0	720	280	280	false	217.4311050714675
37	15.396907758686378	7.621887091787133	20	10	740	15	15	true	218.086404068362
38	10.988516483555177	11.632635832667916	20	10	760	280	280	true	224.04627144080658
39	13.129529265305118	16.58337119157013	20	10	780	15	15	true	229.44013057184637
40	8.198198745361518	24.62062383691716	20	10	800	15	15	true	238.86962953955748
d	25.0	50.0	0	0	0	280	0	false	0.0
